Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Laravel 8. Быстрая разработка веб-сайтов на PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,1123,1497,25,На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля,Умрихин Евгений Дмитриевич,BHV:С нуля,741,988,25,На складе
Атаки на веб и WordPress,,BHV:Библиотека журнала «Хакер»,556,741,25,На складе
Linux глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,741,988,25,На складе
Вероятностное программирование,Колбин Вячеслав Викторович,Лань:Математика,2322,3096,25,На складе
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1296,1728,25,На складе
Восстановление данных. Практическое руководство,Касперски Крис и др.,BHV,688,917,25,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2966,3955,25,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1150,1576,27,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,5186,6914,25,На складе
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,1944,2592,25,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2447,3263,25,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1741,2321,25,Ограничено
C#. Основы программирования (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1925,2566,25,На складе
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1925,2566,25,На складе
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1508,2011,25,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1596,2128,25,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1502,2003,25,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,1019,1358,25,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,1106,1475,25,Ограничено
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1223,1630,25,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,1019,1358,25,На складе
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,769,1025,25,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2600,3467,25,На складе
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,1659,2273,27,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",902,1156,22,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,470,626,25,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1342,1789,25,Ограничено
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1342,1789,25,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1193,1590,25,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,1848,2531,27,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,2560,3507,27,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,392,537,27,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,1925,2567,25,На складе
Java. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,756,1035,27,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,756,1035,27,На складе
Kubernetes. Лучшие практики. Построение эффективных приложений,Бернс Брендан и др.,Питер:Для профессионалов,1132,1550,27,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2416,3309,27,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,3811,5081,25,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,1652,2263,27,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,1939,2585,25,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2402,3291,27,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1496,2049,27,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1270,1740,27,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,917,1223,25,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1398,1915,27,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,1799,2465,27,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2402,3291,27,На складе
От монолита к микросервисам,Ньюмен Сэм,BHV,798,1064,25,На складе
Электроника. Занимательная электроника,Ревич Юрий Всеволодович,BHV:Электроника,851,1134,25,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,798,1064,25,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2148,2942,27,На складе
