Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1530,2040,25,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2156,2953,27,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер:Head First (O'Reilly),2286,3132,27,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1044,1392,25,На складе
Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1491,1988,25,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,637,849,25,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,2683,3577,25,На складе
C++ для инженерных и научных расчетов,Готтшинг Питер,Вильямс,2144,2858,25,Ограничено
Введение в глубокое обучение,Черняк Евгений,Вильямс,1038,1384,25,На складе
Язык C. Самое необходимое,Прохоренок Николай Анатольевич,BHV:Самое необходимое,741,988,25,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1031,1412,27,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),707,906,22,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,468,624,25,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,737,982,25,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3811,5081,25,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1119,1533,27,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2907,3876,25,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1530,2040,25,На складе
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений,"Ибрам Билджин, Хасс Роланд",Питер:Бестселлеры O`Reilly,1270,1740,27,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1376,1835,25,На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум,Янсен Стефан,BHV,1361,1815,25,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1259,1724,27,На складе
"Kubernetes для DevOps: развертывание, запуск и масштабирование в облаке","Арундел Джон, Домингус Джастин",Питер:Бестселлеры O`Reilly,1780,2438,27,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1038,1384,25,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,3890,5186,25,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,3242,4322,25,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,2592,3456,25,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1314,1685,22,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2447,3263,25,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1530,2040,25,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1530,2040,25,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1640,2186,25,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,845,1127,25,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1376,1835,25,На складе
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер:Библиотека программиста,954,1307,27,На складе
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер:Библиотека программиста,1526,2090,27,На складе
C++. Практика многопоточного программирования,Уильямс Энтони,Питер:Для профессионалов,1825,2500,27,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1221,1672,27,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер:Бестселлеры O`Reilly,1577,2160,27,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,3242,4322,25,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3242,4322,25,На складе
Программирование логических контроллеров. Учебное пособие,Иванов Виктор Никитович,Солон-пресс:Библиотека студента,1046,1395,25,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1835,2447,25,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,547,729,25,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1835,2447,25,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2916,3888,25,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1167,1556,25,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,2914,3885,25,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1208,1610,25,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1452,1862,22,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,783,1044,25,На складе
DevOps для современного предприятия,Херинг Мирко,ДМК-Пресс,1070,1427,25,Ограничено
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1530,2040,25,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1835,2447,25,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1530,2040,25,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2528,3370,25,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1376,1835,25,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1376,1835,25,На складе
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов,Микелуччи Умберто,BHV,798,1064,25,На складе
JavaFX,Прохоренок Николай Анатольевич,BHV:В подлиннике,1248,1664,25,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1497,1996,25,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1244,1659,25,На складе
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1223,1631,25,На складе
JavaScript для профессионалов,Резиг Джон и др.,Диалектика,1296,1728,25,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,2592,3456,25,Ограничено
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,917,1223,25,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1376,1835,25,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1530,2040,25,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1556,2075,25,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2120,2826,25,На складе
Библия C#,Фленов Михаил Евгеньевич,BHV,722,963,25,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,925,1267,27,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1988,2651,25,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,1643,2107,22,На складе
Изучаем C#,"Грин Дженнифер, Стиллмен Эндрю",Питер:Head First (O'Reilly),1435,1966,27,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,902,1235,27,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,768,1024,25,На складе
Знакомство с PyTorch: глубокое обучение при обработке естественного языка,"Макмахан Брайан, Рао Делип",Питер:Бестселлеры O`Reilly,1014,1389,27,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,470,626,25,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1453,1937,25,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),1514,2074,27,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,333,444,25,На складе
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,518,690,25,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,3869,5159,25,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1362,1816,25,Ограничено
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,301,401,25,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,421,561,25,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,203,270,25,Ограничено
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,421,561,25,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,654,872,25,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,266,354,25,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,570,760,25,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,249,332,25,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,1894,2595,27,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1070,1427,25,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,1699,2327,27,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,3286,4381,25,На складе
Управление качеством программного обеспечения. Учебник,Черников Борис Васильевич,Форум:Среднее профессиональное образование,1595,2126,25,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2683,3577,25,На складе
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1760,2346,25,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,1988,2651,25,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3059,4079,25,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2430,3240,25,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1417,1889,25,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2237,2982,25,На складе
Java для всех,Васильев Алексей,Питер:Библиотека программиста,791,1083,27,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2141,2855,25,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2141,2855,25,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2592,3456,25,На складе
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,1944,2592,25,На складе
Самоучитель Ruby,Симдянов Игорь Вячеславович,BHV:Самоучитель,1078,1437,25,На складе
Блокчейн. Руководство для начинающих разработчиков,Сингхал Бикрамадитья и др.,BHV,634,845,25,На складе
PHP глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,521,695,25,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1682,2243,25,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,3242,4322,25,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,2592,3456,25,На складе
"Data mining. Извлечение информации из Facebook, Twitter, LinkedIn, Instagram, GitHub","Рассел Мэтью, Классен Михаил",Питер:Бестселлеры O`Reilly,1306,1789,27,На складе
"Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию",Данжу Джульен,Питер:Библиотека программиста,960,1315,27,На складе
Безопасный DevOps. Эффективная эксплуатация систем,Вехен Джульен,Питер:Для профессионалов,1387,1900,27,На складе
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1439,1919,25,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1453,1937,25,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1376,1835,25,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1452,1936,25,Ограничено
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,2592,3456,25,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1730,2307,25,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,301,401,25,Ограничено
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,570,760,25,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1342,1789,25,На складе
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2447,3263,25,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,1098,1504,27,На складе
Основы Java,Прохоренок Николай Анатольевич,BHV,1134,1512,25,На складе
Машинное обучение с использованием Python. Сборник рецептов,Элбон Крис,BHV,764,1019,25,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,889,1218,27,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2294,3059,25,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,1835,2447,25,На складе
Практическая энциклопедия Arduino,"Петин Виктор Александрович, Биняковский Александр Анатольевич",ДМК-Пресс,768,1024,25,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,1628,2230,27,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2023,2771,27,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,1575,2158,27,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1595,2126,25,На складе
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,4174,5565,25,На складе
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,1289,1719,25,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,2027,2703,25,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,917,1223,25,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,1530,2040,25,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",1296,1728,25,На складе
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,1038,1384,25,На складе
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,2141,2855,25,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1793,2391,25,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,1529,2038,25,На складе
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1300,1733,25,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,1598,2189,27,На складе
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1018,1394,27,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,980,1342,27,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,980,1342,27,На складе
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1029,1410,27,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1530,2040,25,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1031,1322,22,На складе
Введение в рекурсивное программирование,Рубио-Санчес Мануэль,ДМК-Пресс,1988,2651,25,На складе
Изучение сложных систем с помощью Python.,Дауни Аллен Б.,ДМК-Пресс,845,1127,25,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1426,1953,27,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1038,1384,25,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,707,906,22,На складе
Конкурентность и параллелизм на платформе .NET. Паттерны эффективного проектирования,Террелл Рикардо,Питер:Для профессионалов,1856,2542,27,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,2141,2855,25,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1376,1835,25,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3059,4079,25,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,905,1160,22,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1536,2048,25,Ограничено
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1530,2040,25,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2600,3467,25,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,2489,3318,25,На складе
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2197,2929,25,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,1118,1491,25,На складе
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,972,1296,25,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1371,1828,25,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,1944,2592,25,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1376,1835,25,На складе
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер:Библиотека программиста,777,1065,27,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,2469,3292,25,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1530,2040,25,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,2592,3456,25,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,908,1211,25,На складе
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1296,1728,25,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1296,1728,25,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2236,2981,25,На складе
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер:Для профессионалов,1629,2231,27,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1376,1835,25,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Учебники для вузов. Специальная литература,1334,1778,25,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,248,331,25,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,812,1041,22,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1296,1728,25,На складе
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,843,1155,27,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1366,1871,27,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2600,3467,25,На складе
Vue.js в действии,"Хэнчетт Эрик, Листоун Бенджамин",Питер:Библиотека программиста,1268,1737,27,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1397,1791,22,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1109,1519,27,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2120,2826,25,Ограничено
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,1625,2167,25,Ограничено
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1268,1691,25,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,645,860,25,На складе
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1296,1728,25,На складе
Создание веб-сайта для чайников,Кроудер Дэвид,"Диалектика:Для ""чайников""",1038,1384,25,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,1944,2592,25,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,2389,3273,27,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1530,2040,25,На складе
Распределенные системы. Паттерны проектирования,Бернс Брендан,Питер:Бестселлеры O`Reilly,855,1171,27,На складе
Django 2.1. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1083,1444,25,На складе
TensorFlow для глубокого обучения,"Рамсундар Бхарат, Заде Реза Босаг",BHV,677,902,25,На складе
CSS для профи,Грант Кит,Питер:Библиотека программиста,1495,2048,27,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1745,2326,25,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2294,3059,25,На складе
